Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Zumper,https://www.crunchbase.com/organization/zumper,"B2B, Consumer, Mobile, Real Estate, Rental","San Francisco, California, United States",Zumper is a software platform that connects people with real estate rental properties.,https://www.zumper.com,2012-01-01,year,"Commerce and Shopping, Mobile, Other, Real Estate",251-500,,,-0.5,0.1,6.8,399962,USD,399962,127033,USD,127033,31173,USD,31173,2,Made Acquisitions,2,28,0%,2,,0%,77,"4,606,108","6,945,606",-8.05%,"20,032","2,047",11.38%,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,2022-06-17,108713,USD,108713,7,Late Stage Venture,2022-01-01,30000000,USD,30000000,Series D,180200000,USD,180200000
Unstoppable Domains,https://www.crunchbase.com/organization/unstoppable-domains,"Blockchain, Domain Registrar, Internet","San Francisco, California, United States",Unstoppable Domains launches domains secured by blockchains and builds uncensorable websites.,http://www.unstoppabledomains.com,2018-01-01,year,"Internet Services, Other",101-250,,,-0.6,-0.1,-0.5,,,,,,,,,,,,,32,0%,,,0%,85,"757,041","1,018,944.33",-9.22%,"86,917","9,256",11.92%,"San Francisco Bay Area, West Coast, Western US",,Active,,,,,3,Early Stage Venture,2022-07-27,65000000,USD,65000000,Series A,71955997,USD,71955997
C2FO,https://www.crunchbase.com/organization/c2fo,"B2B, Enterprise Software, Financial Services, Payments","Leawood, Kansas, United States",C2FO is an online platform that helps in managing businesses' accounts payable and accounts receivable on-demand.,http://www.c2fo.com,2008-02-01,day,"Financial Services, Other, Payments, Software",251-500,,,-0.2,-0.4,6.1,3198300,USD,3198300,681839,USD,681839,133429,USD,133429,1,Made Acquisitions,2.1,46,0%,2,,0%,32,"51,952","66,813",-19.1%,"622,008","111,323",21.8%,Midwestern US,$1M to $10M,Active,,753652,USD,753652,9,Late Stage Venture,2022-02-01,140000000,USD,140000000,Series H,537700000,USD,537700000
Inspirato,https://www.crunchbase.com/organization/inspirato,"Lifestyle, Resorts, Travel","Denver, Colorado, United States",Inspirato is an innovative luxury travel and lifestyle subscription company.,http://www.inspirato.com,2011-01-01,year,"Community and Lifestyle, Travel and Tourism",501-1000,ISPO,https://www.crunchbase.com/ipo/inspirato-ipo--84157046,2.9,6.2,8.1,805853,USD,805853,133928,USD,133928,28291,USD,28291,1,Made Acquisitions,2.2,43,0%,1,,0%,45,"83,899","171,041.5",-58.85%,"442,251","219,105",98.19%,"Greater Denver Area, Western US",$100M to $500M,Active,2023-01-19,211872,USD,211872,6,IPO,2022-02-15,100000000,USD,100000000,Post-IPO Equity,179700000,USD,179700000
Juni,https://www.crunchbase.com/organization/juni,"Banking, E-Commerce, Finance, Financial Services, FinTech","Göteborg, Vastra Gotaland, Sweden",Juni is a fintech company that develops a banking app and platform for e-commerce and online marketing entrepreneurs.,https://www.juni.co,2020-01-01,year,"Commerce and Shopping, Financial Services, Lending and Investments",51-100,,,-0.7,-1.1,-1.5,,,,,,,,,,,,1.2,26,0%,,,0%,80,"45,374","153,075.33",-26.68%,"695,909","171,840",32.79%,"European Union (EU), Nordic Countries, Scandinavia",$1M to $10M,Active,2022-11-17,,,,5,Early Stage Venture,2022-06-08,106000000,USD,106000000,Debt Financing,281873253,USD,281873253
Hydrow,https://www.crunchbase.com/organization/true-rowing,"Fitness, Sports, Wellness","Cambridge, Massachusetts, United States",Hydrow develops a connected indoor rowing machine designed for full-body workouts.,https://hydrow.com,2017-11-15,day,"Health Care, Sports",101-250,,,-0.3,6.7,0,,,,,,,,,,,,2.1,18,0%,,,0%,8,"283,713","209,029.33",57.98%,"181,070","-63,414",-25.94%,"Greater Boston Area, East Coast, New England",$1M to $10M,Active,2022-07-22,,,,10,,2022-08-29,32380257,USD,32380257,Venture - Series Unknown,302179399,USD,302179399
KLOOK,https://www.crunchbase.com/organization/klook,"Hospitality, Leisure, Tourism, Travel","Singapore, Central Region, Singapore",Klook is a travel and leisure booking platform designed to connect travelers with experiences and attractions.,https://www.klook.com,2014-01-01,year,"Community and Lifestyle, Travel and Tourism",1001-5000,,,-0.1,-0.2,-0.9,,,,,,,,,,1,Made Acquisitions,1.3,23,0%,2,"681,609",0%,49,"17,046,767","14,920,705.5",13.69%,"6,080",-479,-7.3%,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",$10M to $50M,Active,,,,,7,Late Stage Venture,2021-01-26,200000000,USD,200000000,Series E,721500000,USD,721500000
Sesame,https://www.crunchbase.com/organization/sesame-993d,"E-Commerce, Electronic Health Record (EHR), Health Care, Health Insurance, mHealth","New York, New York, United States",Sesame is building a radically new healthcare system for uninsured Americans and those with high-deductible insurance plans.,https://sesamecare.com,2018-06-01,day,"Commerce and Shopping, Financial Services, Health Care, Mobile",51-100,,,-0.3,3.4,5.9,,,,,,,,,,,,0.7,33,3.13%,,,0%,31,"368,244","461,352.83",-22.57%,"149,274","30,050",25.2%,"Greater New York Area, East Coast, Northeastern US",,Active,,,,,4,Early Stage Venture,2022-06-14,27000000,USD,27000000,Series B,74960000,USD,74960000
Sonos,https://www.crunchbase.com/organization/sonos,"Audio, Consumer Electronics, Hardware, Music, Software, Wireless","Santa Barbara, California, United States",Sonos is a wireless multi-room music system enabling users to play music anywhere in the house and control it using a smartphone.,http://www.sonos.com,2002-06-30,day,"Consumer Electronics, Hardware, Media and Entertainment, Mobile, Music and Audio, Software",1001-5000,SONO,https://www.crunchbase.com/ipo/sonos-ipo--b4f7ce7e,-0.9,-3.3,-1.6,100215712,USD,100215712,25901073,USD,25901073,3159642,USD,3159642,3,Made Acquisitions,3.4,72,-2.7%,4,"2,560,220",0%,157,"7,162,316","7,644,907.83",-21.78%,"13,496","3,018",28.8%,"West Coast, Western US",$100M to $500M,Active,2020-06-25,31127004,USD,31127004,10,IPO,2018-07-12,,,,Secondary Market,455150000,USD,455150000
Zwift,https://www.crunchbase.com/organization/zwift,"Cycling, Fitness, Sports, Wellness","Long Beach, California, United States",Zwift operates an online fitness platform used to transform monotonous solo indoor cycling into dynamic and social adventures.,http://www.zwift.com,2014-01-01,year,"Health Care, Sports",501-1000,,,-0.1,-0.2,-0.1,,,,,,,,,,1,Made Acquisitions,1.9,60,0%,1,"34,039",0%,144,"2,738,943","2,210,174.17",6.71%,"30,820",-632,-2.01%,"Greater Los Angeles Area, West Coast, Western US",,Active,2022-05-12,,,,8,Late Stage Venture,2020-09-01,450000000,USD,450000000,Series C,619500000,USD,619500000
WeDoctor,https://www.crunchbase.com/organization/guahao,"Health Care, Hospitality, Internet, Medical","Xiaoshan, Zhejiang, China",WeDoctor is a medical health technology platform that offers online services for hospitals and doctors on-site.,https://www.guahao.com,2010-01-01,year,"Health Care, Internet Services, Travel and Tourism",1001-5000,,,-0.5,7.5,7.4,,,,,,,,,,1,Made Acquisitions,1.7,,,6,"77,837",0%,26,"72,749","78,737.5",17.32%,"489,792","-33,543",-6.41%,Asia-Pacific (APAC),$100M to $500M,Active,,,,,6,Late Stage Venture,2021-02-01,411000000,USD,411000000,Series F,1431500000,USD,1431500000
Swiggy,https://www.crunchbase.com/organization/swiggy,"Delivery, Food and Beverage, Food Delivery","Bangalore, Karnataka, India",Swiggy is a food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,https://www.swiggy.com,2014-08-01,day,"Administrative Services, Food and Beverage, Transportation",10001+,,,-0.8,2.5,4,,,,,,,,,,5,Made Acquisitions,,35,0%,10,"1,822,587",0%,104,"18,268,248","13,033,921.17",56.5%,"5,697","-2,629",-31.58%,Asia-Pacific (APAC),$10M to $50M,Active,2023-01-19,,,,15,Late Stage Venture,2022-01-24,,,,Series J,2876500000,USD,2876500000
Pluralsight,https://www.crunchbase.com/organization/pluralsight,"E-Learning, EdTech, Education, Information Services, Information Technology","Draper, Utah, United States","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.",http://www.pluralsight.com,2004-01-01,year,"Education, Information Technology, Software",1001-5000,PS,https://www.crunchbase.com/ipo/pluralsight-ipo--55cf20be,-1,-2,3.7,30235486,USD,30235486,5024964,USD,5024964,1061488,USD,1061488,12,"Made Acquisitions, Was Acquired",2,80,23.08%,1,"5,848",0%,81,"5,842,776","7,022,340.5",-12.4%,"16,160","2,258",16.24%,Western US,$50M to $100M,Active,,7949408,USD,7949408,3,M&A,2016-12-12,30000000,USD,30000000,Series C,192500000,USD,192500000
WeWork,https://www.crunchbase.com/organization/wework,"Commercial Real Estate, Coworking, Property Development, Real Estate","New York, New York, United States","WeWork is a platform for creators that transforms buildings into dynamic environments for creativity, focus, and collaboration.",https://www.wework.com,2010-01-01,year,Real Estate,5001-10000,WE,https://www.crunchbase.com/ipo/wework-ipo--38615b77,-1.7,7.5,5.5,343977,USD,343977,82960,USD,82960,17525,USD,17525,21,Made Acquisitions,2.2,113,0%,16,"111,741",0%,27,"1,507,946","2,302,864.67",-29.65%,"50,485","13,968",38.25%,"Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,2023-01-19,131241,USD,131241,23,IPO,2023-01-03,250000000,USD,250000000,Post-IPO Debt,22195784331,USD,22195784331
LEAD,https://www.crunchbase.com/organization/lead-school,"E-Learning, EdTech, Education, Secondary Education","Mumbai, Maharashtra, India",LEAD offers an edtech integrated school solution that provides quality education to students.,http://leadschool.in,2012-01-01,year,"Education, Software",501-1000,,,-2,9.6,9.7,,,,,,,,,,2,Made Acquisitions,,18,5.88%,,,0%,122,"162,817","192,411.33",8.94%,"272,693","-6,342",-2.27%,Asia-Pacific (APAC),$1M to $10M,Active,2023-01-11,,,,6,Late Stage Venture,2023-01-11,1600000000,INR,19573528,Debt Financing,185540407,USD,185540407
Inscripta,https://www.crunchbase.com/organization/inscripta,"Biotechnology, Health Care, Life Science, Software","Boulder, Colorado, United States",Inscripta is a life science technology company that develops digital genome engineering solutions.,https://www.inscripta.com/,2015-01-01,year,"Biotechnology, Health Care, Science and Engineering, Software",101-250,,,-0.2,9.5,9.8,262855,USD,262855,43685,USD,43685,9228,USD,9228,3,Made Acquisitions,3,21,0%,,,0%,32,"31,610","34,032.5",338.48%,"877,379","-1,302,779",-59.76%,"Greater Denver Area, Western US",$10M to $50M,Active,2022-12-08,69109,USD,69109,9,,2023-01-18,4399977,USD,4399977,Venture - Series Unknown,463899973,USD,463899973
Alto Pharmacy,https://www.crunchbase.com/organization/scriptdash,"Consumer, Health Care, Medical, Pharmaceutical","San Francisco, California, United States","Alto is America's leading digital pharmacy—with free hand-delivery, easy-to-reach pharmacists, and automatic savings investigations.",https://www.alto.com/,2015-06-01,month,"Health Care, Other",1001-5000,,,-0.1,-0.5,1.2,236488,USD,236488,31367,USD,31367,7216,USD,7216,1,Made Acquisitions,0.4,31,0%,4,"39,029",0%,69,"331,199","261,498.83",62.94%,"161,563","-61,619",-27.61%,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,,114937,USD,114937,7,Late Stage Venture,2022-01-27,200000000,USD,200000000,Series E,560030000,USD,560030000
Tanium,https://www.crunchbase.com/organization/tanium,"Cyber Security, Enterprise Software, Information Technology, SaaS, Security","Kirkland, Washington, United States",Tanium is a security and systems management platform allowing real-time data collection at an enterprise scale.,http://www.tanium.com,2007-01-01,year,"Information Technology, Privacy and Security, Software",1001-5000,,,0.5,0,-2.5,39190380,USD,39190380,12447331,USD,12447331,3054460,USD,3054460,,,2.1,42,0%,2,,0%,100,"94,062","199,199.83",-50.61%,"407,031","172,843",73.81%,"Greater Seattle Area, West Coast, Western US",$500M to $1B,Active,2022-09-13,10652317,USD,10652317,18,,2021-09-15,500000,USD,500000,Venture - Series Unknown,1050491919,USD,1050491919
Coterie Insurance,https://www.crunchbase.com/organization/coterie-e1d3,"Commercial Insurance, Developer APIs, Insurance, InsurTech","Cincinnati, Ohio, United States",Coterie Insurance is an insurtech company that provides an API-based approach to commercial insurance.,http://coterieinsurance.com,2018-07-31,day,"Financial Services, Software",101-250,,,2.7,7.5,7.7,,,,,,,,,,,,,25,-7.41%,,,0%,99,"11,854","17,891.17",-51.02%,"1,656,946","657,823",65.84%,"Great Lakes, Midwestern US",,Active,2022-05-27,,,,4,Early Stage Venture,2021-10-26,50000000,USD,50000000,Series B,70000000,USD,70000000
Compass,https://www.crunchbase.com/organization/compassinc,"Property Management, Real Estate, Residential","New York, New York, United States","Compass is a real estate technology company that provides an online platform for buying, renting, and selling real estate assets.",http://www.compass.com,2012-10-04,day,Real Estate,10001+,COMP,https://www.crunchbase.com/ipo/compassinc-ipo--9f20d98d,-0.9,-0.3,-0.6,,,,,,,,,,17,Made Acquisitions,1.3,74,0%,37,,0%,141,"4,720,039","6,434,016.33",-0.23%,"19,526",692,3.67%,"Greater New York Area, East Coast, Northeastern US",$1B to $10B,Active,2023-01-05,,,,10,IPO,2019-07-30,370000000,USD,370000000,Series G,1528000000,USD,1528000000
Instacart,https://www.crunchbase.com/organization/instacart,"Delivery Service, E-Commerce, Grocery, Shopping","San Francisco, California, United States",Instacart is an online grocery platform that offers same-day delivery and pickup services for retailers and consumers.,https://www.instacart.com,2012-01-01,year,"Commerce and Shopping, Food and Beverage, Transportation",10001+,,,-0.2,-0.7,-0.9,21901368,USD,21901368,2666191,USD,2666191,2523996,USD,2523996,7,Made Acquisitions,3.1,59,-1.67%,43,"2,018,552",0%,83,"40,700,539","95,598,135.67",21.11%,"2,450",-468,-16.04%,"San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,2022-09-24,6020117,USD,6020117,19,,2021-11-01,232000000,USD,232000000,Venture - Series Unknown,2919023124,USD,2919023124
Lendingkart,https://www.crunchbase.com/organization/lendingkart,"Finance, Financial Services, FinTech, Lending, Micro Lending","Ahmedabad, Gujarat, India",Lendingkart is an online financing company that provides short-term working capital loans to SME borrowers.,https://www.lendingkart.com,2014-01-01,year,"Financial Services, Lending and Investments",501-1000,,,-0.6,-0.9,-0.5,,,,,,,,,,1,Made Acquisitions,,40,0%,3,"10,764",0%,94,"1,276,828","2,237,746.33",-20.44%,"57,672","11,245",24.22%,Asia-Pacific (APAC),$10M to $50M,Active,2020-05-24,,,,15,Late Stage Venture,2022-08-12,500000000,INR,6279214,Convertible Note,279245020,USD,279245020
DoorDash,https://www.crunchbase.com/organization/doordash,"Delivery, Food Delivery, Logistics, Mobile Apps","San Francisco, California, United States",DoorDash is a food delivery platform that connects customers with local and national business.,http://www.doordash.com,2013-01-01,month,"Administrative Services, Apps, Food and Beverage, Mobile, Software, Transportation",10001+,DASH,https://www.crunchbase.com/ipo/doordash-ipo--e439599f,-1.2,-0.9,-0.8,,,,,,,,,,7,Made Acquisitions,3,78,0%,6,"4,409,185",0%,79,"88,773,875","147,050,371.17",18.37%,"1,059",-221,-17.27%,"San Francisco Bay Area, West Coast, Western US",$1B to $10B,Active,2022-11-30,,,,13,IPO,2020-06-18,400000000,USD,400000000,Series H,2471820000,USD,2471820000
Skyscanner,https://www.crunchbase.com/organization/skyscanner,"Internet, Service Industry, Transportation, Travel, Travel Agency","Edinburgh, Edinburgh, City of, United Kingdom",Skyscanner operates as a trips meta-search engine company.,http://skyscanner.net,2003-05-16,day,"Internet Services, Other, Transportation, Travel and Tourism",1001-5000,,,-0.6,-0.6,3,,,,,,,,,,6,"Made Acquisitions, Was Acquired",1.9,47,0%,27,"1,852,548",0%,67,"40,867,000","41,461,747",3.35%,"2,446",-10,-0.41%,,$100M to $500M,Active,2020-07-14,,,,4,M&A,2016-01-11,192000000,USD,192000000,Venture - Series Unknown,197207791,USD,197207791
Ada,https://www.crunchbase.com/organization/ada-support,"Artificial Intelligence, Intelligent Systems, Machine Learning, SaaS, Software","Toronto, Ontario, Canada",Ada is an automated customer experience company that provides chat bots used in customer support.,https://www.ada.cx/,2016-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",101-250,,,5.8,4.8,5,,,,,,,,,,,,1.2,30,0%,,,0%,59,"72,204","120,295",-27.61%,"492,460","119,270",31.96%,Great Lakes,$10M to $50M,Active,2022-09-21,,,,7,Late Stage Venture,2021-05-07,130000000,USD,130000000,Series C,190620620,USD,190620620
Benevity,https://www.crunchbase.com/organization/benevity,"E-Commerce, Enterprise Software, Humanitarian, Information Technology, SaaS, Social Assistance, Software","Calgary, Alberta, Canada",Benevity is a Calgary-based company that provides a community investment solution by offering donation and grant management platforms.,http://www.benevity.com/,2008-01-01,year,"Commerce and Shopping, Community and Lifestyle, Government and Military, Information Technology, Software",501-1000,,,-0.2,7.9,7.4,3987555,USD,3987555,662709,USD,662709,139992,USD,139992,4,Made Acquisitions,0.6,39,2.63%,,,0%,60,"116,892","86,515.83",26.28%,"347,561","-46,476",-11.79%,,$50M to $100M,Active,2023-01-18,1048394,USD,1048394,5,,2021-02-01,,,,Venture - Series Unknown,69220250,USD,69220250
CrowdStreet,https://www.crunchbase.com/organization/crowdstreet,"Crowdfunding, Financial Services, FinTech, Real Estate Investment","Austin, Texas, United States",CrowdStreet is a provider of online commercial real estate investment offerings and technology connecting investors with CRE firms.,http://www.crowdstreet.com,2013-03-01,day,"Financial Services, Real Estate",101-250,,,-0.2,5.3,-3.7,919806,USD,919806,196092,USD,196092,38373,USD,38373,,,0,48,2.13%,,,0%,87,"263,296","317,705",-26.96%,"191,275","45,035",30.8%,Southern US,$10M to $50M,Active,2020-06-02,216744,USD,216744,6,Late Stage Venture,2022-10-10,43000000,USD,43000000,Series C,67850000,USD,67850000
